Id,target,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
44164,0,0.7682191279999999,68y,1,0.6879302429999999,2178.0,12,0,1,0,0.0
95356,0,0.289873145,52y,0,0.385497201,3750.0,16,0,1,0,1.0
108917,0,0.0,54y,0,0.34650278,6833.0,8,0,1,0,0.0
99039,0,0.0460637729999999,66y,1,0.40761392,5200.0,6,0,1,0,1.0
116168,0,0.168770781,45y,0,4702.0,,10,0,3,0,1.0
80810,0,0.0476613709999999,73y,0,0.007664112,3000.0,4,0,0,0,0.0
93155,0,0.061963381,45y,0,2501.0,,12,0,1,0,2.0
91255,0,0.997422337,63y,0,0.4130491979999999,3800.0,7,0,1,0,0.0
72678,1,0.05957738,56y,3,0.667954497,4658.0,16,0,3,0,0.0
92911,0,0.911480247,44y,1,0.4482311779999999,7716.0,9,0,2,0,1.0
11619,0,0.397704381,70y,1,3012.0,,12,0,1,0,0.0
27100,0,0.082861143,48y,0,0.014225298,2600.0,2,0,0,0,0.0
84087,0,0.17379131,40y,0,0.096758587,6200.0,2,0,0,0,4.0
112431,0,0.01958154,39y,0,0.369012911,2400.0,11,0,1,0,3.0
39857,0,0.165723968,59y,1,0.371630205,7084.0,12,0,1,1,2.0
9019,0,0.9999999,29y,0,0.314841849,2054.0,2,0,1,0,0.0
88074,0,0.036310231,50y,0,0.5146925170000001,3300.0,6,0,1,0,0.0
138396,0,0.376023546,49y,0,0.28236642,9600.0,6,0,2,0,2.0
123018,0,0.102410655,71y,0,309.0,,11,0,0,0,1.0
59851,0,0.631909055,53y,6,0.202120212,9998.0,10,2,0,0,0.0
85665,0,0.381907001,43y,0,0.394256432,9366.0,13,0,1,0,3.0
21166,0,0.002405774,51y,0,0.27549796,4166.0,13,0,0,0,3.0
135254,0,0.0,57y,0,1346.0,0.0,8,0,2,0,0.0
100902,0,0.671719895,59y,1,0.680131987,10000.0,18,0,2,0,2.0
49866,0,0.05122967,53y,0,0.443858938,7400.0,22,0,2,0,4.0
38960,0,0.055160482,65y,0,1822.0,,6,0,1,0,
55395,0,0.954045954,60y,0,0.319229555,3166.0,7,1,1,0,0.0
51250,0,0.189281475,43y,0,0.288925895,1200.0,3,0,0,0,0.0
39502,0,0.7468094470000001,47y,0,0.357940343,6000.0,9,0,1,0,1.0
132958,0,0.757638204,54y,0,0.258176892,5166.0,7,0,1,0,0.0
19380,0,0.00325045,74y,0,0.0018903589999999,1586.0,9,0,0,0,0.0
136808,1,0.571385189,46y,0,0.436732362,3500.0,21,1,1,0,2.0
40534,0,0.081756124,30y,0,2.11420414,1400.0,6,0,1,0,0.0
12555,0,0.334148232,32y,0,0.154527278,3500.0,8,0,0,0,0.0
16571,0,0.019160631,65y,0,0.183547558,5834.0,8,0,2,0,1.0
48022,0,1.3023255809999998,22y,0,0.1065778519999999,1200.0,2,0,0,0,0.0
42453,0,0.0,37y,0,1.009998,5000.0,7,0,3,0,4.0
94757,0,0.9999999,25y,0,0.091325151,4806.0,2,0,0,0,0.0
111312,0,0.0,28y,1,0.0,1400.0,3,0,0,2,1.0
94675,0,0.9999999,42y,0,0.4323603,5994.0,2,0,1,0,1.0
141227,0,0.086661414,75y,0,0.023320378,1800.0,5,0,0,0,0.0
92688,0,0.171689759,30y,0,0.07651293,3750.0,5,0,0,0,0.0
27513,0,0.4757894029999999,66y,2,0.357153603,6646.0,7,1,2,0,0.0
75223,0,0.002736503,77y,0,0.000653595,4589.0,5,0,0,0,0.0
62983,0,0.943148197,53y,0,0.322891566,7884.0,5,0,2,0,0.0
67941,0,0.9999999,60y,0,0.157603261,13000.0,4,0,1,0,1.0
135576,0,0.024242503,57y,0,0.365556302,10416.0,9,0,2,0,0.0
9656,1,0.9999999,47y,0,27.0,,0,1,0,0,0.0
81474,0,0.339016131,54y,0,0.2685824189999999,8838.0,9,0,2,0,1.0
99283,0,0.0,39y,0,0.440095994,5416.0,6,0,2,0,2.0
91836,0,0.0508271509999999,55y,0,0.679960582,17250.0,19,0,10,0,0.0
51859,0,0.244732482,71y,0,0.347612191,8333.0,11,0,1,0,0.0
117181,0,0.9999999,36y,0,0.429394259,10416.0,4,0,1,0,0.0
116678,0,0.018375545,52y,0,0.228692827,4000.0,9,0,1,0,3.0
93827,0,0.33303176,55y,0,260.0,,9,0,0,0,0.0
91179,0,0.041857543,72y,0,0.239586804,3000.0,8,0,1,0,0.0
57457,0,0.036800444,44y,0,0.3343328339999999,2000.0,3,0,0,0,0.0
131687,0,0.154721165,45y,0,585.0,,7,0,0,0,0.0
88514,0,0.944579346,45y,3,0.485636115,5116.0,5,2,2,0,3.0
16883,0,0.223243747,55y,0,0.429305913,3500.0,3,0,1,0,0.0
28154,0,0.308684566,44y,0,0.170872386,4160.0,4,0,1,0,0.0
88710,0,0.297376705,42y,1,0.218399691,5173.0,7,4,0,1,1.0
