ID,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,target
4995,0.02,26.8,0.09,1.35,0.06,0.09,0.09,1.97,1.48,0.0,0.009,0.031,9.52,0.84,0.001,1.24,0.96,0.09,0.08,0.08,0
1709,1.13,3.95,0.32,3.95,0.03,4.66,0.56,1.89,1.36,0.82,0.82,0.17,13.83,1.15,0.006,10.55,3.76,0.02,0.45,0.06,0
7825,0.07,8.05,0.04,0.14,0.04,0.06,0.06,0.05,0.0,0.0,0.0,0.12,2.61,1.52,0.008,4.13,0.27,0.03,0.03,0.01,0
6918,0.09,26.4,0.03,0.92,0.09,0.57,0.0,0.36,0.03,0.23,0.004,0.055,5.22,1.96,0.0,11.32,0.25,0.09,0.01,0.05,0
5,0.94,14.47,0.03,2.88,0.003,0.8,0.43,1.38,0.11,0.67,0.67,0.135,9.75,1.89,0.006,27.17,5.42,0.08,0.19,0.02,1
1477,0.2,1.28,0.74,3.59,0.04,2.76,0.39,1.26,0.13,0.0,0.93,0.165,4.86,1.19,0.0,19.7,0.16,0.07,0.27,0.01,0
5788,0.05,0.2,0.01,0.08,0.03,0.02,0.1,0.33,0.74,0.32,0.005,0.008,1.94,0.15,0.001,2.37,3.12,0.0,0.07,0.04,0
5006,0.04,19.5,0.09,0.24,0.0,0.04,0.02,1.86,0.86,0.0,0.005,0.197,14.52,0.84,0.001,0.43,3.92,0.08,0.01,0.07,0
453,4.3,10.8,0.05,0.54,0.001,6.1,0.7,0.98,0.79,0.72,0.72,0.115,1.22,1.15,0.002,7.63,3.03,0.05,0.29,0.07,1
7095,0.02,17.12,0.04,0.91,0.05,0.11,0.1,0.87,0.69,0.55,0.55,0.153,6.65,1.93,0.007,0.76,0.15,0.01,0.05,0.08,0
7134,0.06,0.63,0.08,0.93,0.01,0.02,0.1,0.5,0.74,0.5,0.5,0.074,19.25,2.16,0.008,0.18,2.63,0.05,0.04,0.04,0
7330,0.01,7.89,0.04,0.64,0.01,0.29,0.02,1.02,0.03,0.73,0.73,0.138,16.0,1.62,0.002,3.47,4.85,0.03,0.06,0.07,0
278,3.44,15.67,0.01,2.19,0.001,0.75,0.39,0.76,0.24,0.28,0.007,0.027,3.77,1.78,0.001,1.17,3.75,0.07,0.02,0.06,1
3553,0.09,14.42,0.6,1.07,0.05,0.75,0.8,0.03,1.31,0.69,0.69,0.001,16.15,1.56,0.004,0.55,1.79,0.06,0.42,0.01,0
1857,4.55,17.78,0.08,2.93,0.1,2.94,0.82,1.54,0.05,0.45,0.009,0.111,15.1,1.25,0.006,56.17,4.35,0.05,0.38,0.03,0
3267,0.05,12.12,0.47,2.02,0.01,2.28,0.55,0.56,1.29,0.64,0.64,0.18,3.3,1.23,0.008,22.21,0.3,0.09,0.01,0.09,0
572,1.06,20.37,0.001,2.43,0.006,0.23,0.36,1.93,0.23,0.42,0.006,0.195,13.79,1.15,0.001,2.16,7.47,0.09,0.49,0.08,1
7361,0.05,4.71,0.07,2.3,0.06,0.05,0.04,1.05,1.26,0.03,0.003,0.079,9.04,1.88,0.004,1.8,0.03,0.01,0.03,0.09,0
7446,0.04,4.54,0.03,0.24,0.08,0.12,0.03,0.81,1.27,0.53,0.53,0.057,17.36,2.01,0.005,0.25,0.08,0.07,0.01,0.01,0
4934,0.09,0.83,0.04,0.08,0.03,0.06,0.07,0.04,1.35,0.05,0.008,0.059,6.74,0.91,0.003,8.68,0.25,0.03,0.01,0.03,0
6739,0.05,10.78,0.06,1.67,0.08,0.21,0.07,0.1,1.38,0.26,0.005,0.033,7.43,1.55,0.007,3.22,0.06,0.09,0.01,0.02,0
5301,0.09,2.21,0.01,1.39,0.1,0.04,0.08,1.79,0.59,0.0,0.008,0.03,13.12,0.77,0.006,2.13,2.47,0.08,0.09,0.04,0
5445,0.1,21.52,0.04,1.1,0.05,0.06,0.06,0.75,1.25,0.0,0.002,0.083,16.24,0.27,0.005,1.69,0.26,0.05,0.0,0.04,0
5016,0.02,16.79,0.08,0.07,0.02,0.08,0.05,1.15,0.34,0.0,0.85,0.065,18.32,0.73,0.003,7.8,0.5,0.1,0.07,0.01,0
544,2.21,18.61,0.03,1.47,0.007,4.1,0.11,1.8,1.39,0.31,0.005,0.175,17.85,1.96,0.002,28.03,0.15,0.05,0.33,0.08,1
5573,0.02,25.72,0.06,0.73,0.1,0.24,0.04,0.76,1.05,0.4,0.007,0.185,14.71,0.41,0.003,0.78,0.41,0.05,0.1,0.07,0
6875,0.07,2.08,0.01,2.37,0.07,0.27,0.04,1.69,1.37,0.93,0.93,0.161,2.65,1.9,0.009,8.82,0.75,0.04,0.0,0.01,0
